KPI_ID,DOMAINE_ID,FILTRE
EASY001,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY002,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY003,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY004,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY005,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY006,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY007,2, %SERVICES AUX CLIENTS%
EASY008,2, %SERVICES AUX CLIENTS%
EASY009,2, %SERVICES AUX CLIENTS%
EASY010,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
EASY011,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
OPCON001B,1, %ZZZ940-start-010-J-M3%
OPCON002,4, %RETAIL HRE / CEGID TM1%
OPCON005,5, %VENTES HDF / CEGID TM1_PA%
OPCON003,1, %CEL23_APPRO%
OPCON004,1, %DFR15_RAF_Simulé_Quotidien%
OPCON006,1,
M3001,3,
M3002,3,
M3003,3,
M3004,6,
M3005,6,
EASY001,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY002,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY003,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY004,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY005,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY006,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY010,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY011,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY012,5, %HERMES DISTRIBUTION/FRANCE/HERMES DISTRIBUTION FRANCE%
EASY012,4, %HERMES DISTRIBUTION/EUROPE/HERMES DISTRIBUTION EUROPE%
MAG001,7,
MAG001,5,%fr_fr%
MAG001,4,
M3MAG001,7,
MANMAG002,7,
MANMAG003,7,
MAN001,7,
MANMAG001,7,
MANMAG004,6,
M3Y2001,5,
M3Y2001,4,
M3PF001,3,
M3MAN001A,6,
M3MAN001B,6,
M3MAN002,2,
M3MAN003A,6,
M3MAN003B,6,
EASY004,4, %HERMES DISTRIBUTION/EUROPE/INTERNET EUROPE%
EASY003,4, %HERMES DISTRIBUTION/EUROPE/INTERNET EUROPE%
SNAV001,7,
SNAV002,7,
SNAV003,7,
SNAV004,7,
SNAV001,8,
SNAV002,8,
SNAV003,8,
SNAV004,8,
SNAV005,8,
SNAV006,8,
SNAV007,8,
SNAV008,8,
SNAV009,,
SNAV010,1,
SNAV011,6,
SNAV012,6,
SNAV012,2,
SNAV010,8,
SNAV011,8,
SNAV012,8,
SNAV013,8,
SNAV014,8,
SNAV015,8,
SNAV016,8,
SNAV016,4,
SNAV016,5,
SNAV017,8,
SNAV018,8,
SNAV019,1,
GRAFA002,8,ESB
GRAFA003,8,EAI
RELIC001,8,
ADYEN001,4,
ADYEN001,5,
SAC001,2,
GRAFA001,5, Global/EMEA/France/Paris/FBG
GRAFA001,5,Global/EMEA/France/Lyon/Lyon Magasin
GRAFA001,5,Global/EMEA/France/Paris/SEVRES
GRAFA001,5,Global/EMEA/France/Lille/Mag Lille
GRAFA001,5,Global/EMEA/Monaco/Monte-Carlo/Magasin
GRAFA001,5,Global/EMEA/France/Paris/GV
GRAFA001,5,Global/EMEA/France/Deauville/Mag Deauville
GRAFA001,5,Global/EMEA/France/Strasbourg/Mag Strasbourg
GRAFA001,5,Global/EMEA/France/Marseille/Mag Marseille
GRAFA001,5,Global/EMEA/France/Bordeaux/Bordeaux Magasin
GRAFA001,5,Global/EMEA/France/Saint-Tropez/Saint-Tropez POPUP
GRAFA001,5,Global/EMEA/France/Saint-Tropez/MAG Saint-Tropez
GRAFA001,5,Global/EMEA/France/Aix-En-Provence/Aix-En-Pce Magasin
GRAFA001,5,Global/EMEA/France/Biarritz/Biarritz Mag
GRAFA001,5,Global/EMEA/France/Cannes/Cannes Magasin
GRAFA001,5,Global/EMEA/France/Paris/LMH Printemps
M3006,2,
EASY013,1
EASY014,1
PULOG001,5,
CROWN001,1,
CROWN002,1,
TABREA001,1,
PULOG001,4,
CTC001,1,
SAP001JE,13,C1
SAP001JM,13,C1
SAP001JE,13,C6
SAP001JM,13,C6
SAP002J,13,K1
SAP003J,13,KM
SAP004JH,13,MM
SAP004JM,13,MM
SAP005J,13,MP
SAP001ME,13,C1
SAP001MM,13,C1
SAP001ME,13,C6
SAP001MM,13,C6
SAP002M,13,K1
SAP003M,13,KM
SAP004MH,13,MM
SAP004MM,13,MM
SAP005M,13,MP
GRAFA004,4,M-STOCKHOLM
GRAFA004,4,M-KUDAMM
GRAFA004,4,M-KAMPEN
GRAFA004,5,M-LILLE
GRAFA004,5,M-FAUBOURG ST HONORE
GRAFA004,5,M-005130-JOHNLOBBST_GERMAIN
GRAFA004,5,M-AIX EN PROVENCE
GRAFA004,4,M-Milano_Store-MonteNapoleone
GRAFA004,4,M-Madrid-Canalejas
GRAFA004,4,M-KRAKOWSKIE
GRAFA004,4,M-VENEZIA
GRAFA004,4,M-008470-S_Saint-Moritz
GRAFA004,4,M-BOLOGNA
GRAFA004,4,M-KADEWE
GRAFA004,4,M-FIRENZE
GRAFA004,4,M-Cadogan
GRAFA004,5,M-POP-UP ST TROPEZ 3
GRAFA004,4,M-CAPRI
GRAFA004,4,M-LISBOA
GRAFA004,4,M-Manchester
GRAFA004,4,M-Harrods
GRAFA004,4,M-006820-Barcelona-Paseo
GRAFA004,4,M-BRUXELLES
GRAFA004,4,M-000365-Istanbul EMAAR
GRAFA004,4,M-008520-C_Lugano
GRAFA004,5,M-DEAUVILLE
GRAFA004,4,M-Royal Echange
GRAFA004,4,P-48001-HERMES (SUISSE) SA
GRAFA004,4,M-008440-S_Bâle
GRAFA004,4,M-006840-Marbella
GRAFA004,4,M-006660-Amsterdam Bijenkorf
GRAFA004,4,P-72001-Hermès Grèce A.E.
GRAFA004,5,M-POP-UP ST TROPEZ 2
GRAFA004,5,M-ST TROPEZ
GRAFA004,4,M-CZ-Praha
GRAFA004,5,M-005120-JOHNLOBB_FRANCOIS1
GRAFA004,4,M-ROMA BOCCA DI LEONE
GRAFA004,4,M-VIENNA
GRAFA004,4,M-ROMA CONDOTTI
GRAFA004,5,M-MARSEILLE
GRAFA004,4,M-HAMBURG
GRAFA004,4,M-Oslo
GRAFA004,5,M-000460-STRASBOURG
GRAFA004,5,M-LYON
GRAFA004,4,P-40001-HERMES GmbH
GRAFA004,4,M-New Bond Street
GRAFA004,5,M-CANNES
GRAFA004,4,M-006830-Madrid-Ortega
GRAFA004,4,M-008500-C_Crans
GRAFA004,4,M-STUTTGART
GRAFA004,4,M-KNOKKE LE ZOUTE
GRAFA004,4,M-BADEN-BADEN
GRAFA004,5,M-GEORGE V
GRAFA004,5,M-SEVRES
GRAFA004,4,M-007300-Dublin
GRAFA004,5,M-BORDEAUX
GRAFA004,4,M-Istanbul-Nisantasi
GRAFA004,5,M-ST BARTHELEMY
GRAFA004,4,M-008460-S_Lausanne
GRAFA004,4,M-FRANKFURT
GRAFA004,4,M-008510-C_Gstaad
GRAFA004,4,M-London Selfridges
GRAFA004,5,M-002210-PUIFORCAT
GRAFA004,4,M-MONTE CARLO
GRAFA004,4,M-DUSSELDORF
GRAFA004,4,M-AMSTERDAM
GRAFA004,5,M-BIARRITZ